City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
277,Barentu,15.1139,37.5928,72.21,81,99,8.3,ER,overcast clouds
278,Troitskoye,52.9821,84.6757,63.39,98,99,4.21,RU,overcast clouds
279,Prince Rupert,54.3161,-130.3201,57.29,94,90,5.75,CA,light rain
280,Goderich,43.7501,-81.7165,78.21,46,28,6.91,CA,scattered clouds
281,Borovoy,55.4333,86.0833,67.28,77,0,4.47,RU,clear sky
282,Chuy,-33.6971,-53.4616,61.05,84,5,4.68,UY,clear sky
283,Wahiawa,21.5028,-158.0236,77.32,79,90,10.36,US,overcast clouds
284,Kununurra,-15.7667,128.7333,58.98,88,94,0.0,AU,overcast clouds
285,Concepcion,-36.827,-73.0498,58.8,67,0,8.05,CL,clear sky
286,Cidreira,-30.1811,-50.2056,60.12,78,0,8.59,BR,clear sky
287,Havre-Saint-Pierre,50.2334,-63.5986,59.0,100,90,5.75,CA,mist
288,Bubaque,11.2833,-15.8333,79.61,79,100,13.98,GW,overcast clouds
289,Poum,-20.2333,164.0167,71.49,77,10,8.32,NC,clear sky
290,Sherlovaya Gora,50.5667,116.25,56.23,70,8,5.35,RU,clear sky
291,Poindimie,-20.9333,165.3333,72.73,83,56,5.41,NC,broken clouds
292,Neiafu,-18.65,-173.9833,79.48,83,20,0.0,TO,few clouds
293,San Quintin,30.4833,-115.95,75.79,67,74,11.01,MX,broken clouds
294,Cairns,-16.9167,145.7667,68.95,100,17,1.14,AU,few clouds
295,Fortuna,40.5982,-124.1573,71.85,67,20,3.0,US,few clouds
296,Kahului,20.8947,-156.47,83.97,78,40,20.71,US,scattered clouds
297,Gat,31.61,34.7642,81.28,100,26,8.28,IL,scattered clouds
298,Villanueva,15.3167,-88.0,90.59,55,75,12.66,HN,broken clouds
299,Batemans Bay,-35.7167,150.1833,51.19,89,92,5.46,AU,light rain
300,Qasigiannguit,68.8193,-51.1922,46.65,90,100,11.01,GL,overcast clouds
301,Borbon,10.838,124.0297,84.09,71,100,12.93,PH,overcast clouds
302,Worland,44.0169,-107.9554,91.54,22,1,8.05,US,clear sky
303,Khandbari,27.3747,87.2039,72.75,93,36,1.74,NP,scattered clouds
304,Domoni,-12.2569,44.5319,75.34,77,4,12.46,KM,clear sky
305,Beloha,-25.1667,45.05,61.52,67,43,6.76,MG,scattered clouds
306,Zapolyarnyy,69.4154,30.8136,45.68,84,100,27.18,RU,overcast clouds
307,Areosa,41.7178,-8.8571,65.46,92,11,3.02,PT,few clouds
308,Port Hardy,50.6996,-127.4199,59.18,88,90,4.61,CA,overcast clouds
309,Novyye Burasy,52.1324,46.0714,65.95,65,0,3.62,RU,clear sky
310,Dhola,21.8833,71.7833,83.41,75,100,13.22,IN,overcast clouds
311,Belaya Gora,68.5333,146.4167,57.42,46,98,7.85,RU,overcast clouds
312,Sungairaya,0.7,108.9,78.15,86,85,6.64,ID,overcast clouds
313,Umea,63.8284,20.2597,56.91,88,0,3.44,SE,clear sky
314,Sinegorye,62.0788,150.477,53.92,91,100,1.43,RU,overcast clouds
315,Iskateley,67.6803,53.1512,44.22,83,99,5.5,RU,overcast clouds
