City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
622,Klamath Falls,US,89.87,clear sky,42.2249,-121.7817,"Holiday Inn Express & Suites Klamath Falls Central, an IHG Hotel"
624,Awbari,LY,85.3,clear sky,26.5921,12.7805,فندق أوباري
625,Santa Barbara,US,84.99,few clouds,34.7333,-120.0343,Upper Ballard Campground
626,Casa Grande,US,77.79,overcast clouds,32.8795,-111.7573,Mainstay Suites Extended Stay Hotel Casa Grande
628,Eydhafushi,MV,82.6,broken clouds,5.1033,73.0708,Soneva Fushi
632,Misratah,LY,79.97,clear sky,32.3754,15.0925,فندق الماسة
634,Key West,US,89.6,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
635,Bhinmal,IN,81.12,light rain,25.0,72.25,Jambheswar Bhavan(Gopi Khilery)
637,Santa Pola,ES,86.49,clear sky,38.1917,-0.5658,Patilla
639,Camopi,GF,80.65,scattered clouds,3.1655,-52.3158,
647,Latung,PH,83.86,overcast clouds,5.5,120.8833,
648,Upata,VE,78.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
649,Isangel,VU,77.54,clear sky,-19.55,169.2667,Tanna Lodge
651,Manbij,SY,84.97,clear sky,36.5281,37.9549,Manbej City Hotel
653,Gao,ML,92.91,scattered clouds,16.6362,1.637,
654,Porto Walter,BR,90.68,few clouds,-8.2686,-72.7439,Secretaria de saúde
657,Sattahip,TH,87.91,moderate rain,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
660,Bowmore,US,91.69,clear sky,34.9421,-79.3031,
661,Kirakira,SB,80.55,broken clouds,-10.4544,161.9205,SanBiz Lodge
667,Shahrud,IR,78.76,clear sky,36.4182,54.9763,Royal Hotel
668,Monywa,MM,79.68,scattered clouds,22.1167,95.1333,Monywa Hotel
669,Porto Novo,BJ,80.42,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
670,Aswan,EG,94.3,clear sky,24.0934,32.907,Nuba Nile
674,Salinas,US,89.71,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
678,Itapaci,BR,77.95,overcast clouds,-14.9508,-49.5494,Gold Pallace Hotel
681,Monaragala,LK,75.99,broken clouds,6.8714,81.3487,Silanrich Hotel
682,Rio Branco,BR,92.01,few clouds,-9.9747,-67.81,João Paulo Hotel
686,Bam,IR,93.07,clear sky,29.106,58.357,Bam Tourist Hotel
687,Alexandria,EG,80.56,scattered clouds,31.2156,29.9553,Royal Crown Hotel
692,Goshen,US,86.11,haze,41.5823,-85.8344,"Holiday Inn Express & Suites Goshen, an IHG Hotel"
693,Tiarei,PF,82.42,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
697,Buluang,PH,80.15,overcast clouds,13.3068,123.3425,Enon Beach Resort
699,Ghotki,PK,91.2,overcast clouds,28.006,69.3161,BISMILLAH HOTAL $ CHAI
701,Pimentel,PE,75.49,clear sky,-6.8367,-79.9342,Casona Del Muelle
703,Lorengau,PG,80.38,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
704,Burias,PH,75.4,light rain,11.4463,122.5497,
